product_name,category_id
Apples,1
Avocados,1
Bananas,1
Berries,1
Cherries,1
Grapes,1
Grapefruit,1
Kiwi,1
Lemons,1
Limes,1
Melons,1
Nectarines,1
Oranges,1
Peaches,1
Pears,1
Plums,1
Asparagus,2
Beets,2
Broccoli,2
Cabbage,2
Cauliflower,2
Celery,2
Corn,2
Cucumbers,2
Eggplant,2
Garlic,2
Green onions,2
Lettuce,2
Onions,2
Peppers,2
Potatoes,2
Salad greens,2
Spinach,2
Sweet potato,2
Tomatoes,2
Zucchini,2
Canned Chicken Soup,3
Tuna,3
Salmon,3
Red Kidney Beans,3
Black Beans,3
Chickpeas,3
Peas,3
Corn,3
Diced Tomatoes,3
Olives,3
Pasta Souce,3
Crushed Tomatoes,3
Tomato Paste,3
Coconut Milk,3
Butter,4
Cheddar cheese,4
Cream cheese,4
Eggs,4
Dip,4
Feta cheese,4
Milk,4
Shredded cheese,4
Sour cream,4
Yogurt,4
Whipped cream,4
Chicken,5
Beef,5
Turkey,5
Pork,5
Sausage,5
Bacon,5
Haddock,6
Cod,6
Shrimp,6
Salmon,6
Crab,6
Tuna,6
Scalops,6
Lobster,6
Cheese,7
Salami,7
Ham,7
Turkey,7
Salt,8
Black pepper,8
Oregano,8
Basil,8
Italian spices,8
Garlic powder,8
Paprika,8
Curry powder,8
Cinnamon,8
Sugar,8
Olive Oil,8
Vegetable Oil,8
Cannola Oil,8
Ketchup,8
Mustard,8
Mayonnaise,8
Soy Souce,8
Chips,9
Pretzels,9
Cookies,9
Popcorn,9
Crackers,9
Nuts,9
Tortilla Chips,9
Candy,9
Bread,10
Bagels,10
Cake,10
Croissants,10
Cookies,10
Donuts,10
Hamburger buns,10
Hot dog buns,10
Muffins,10
Pita bread,10
Tortillas,10
Wraps,10
Beer,11
Club soda,11
Coconut water,11
Coffee,11
Energy drinks,11
Juice,11
Kombucha,11
Liquor,11
Milk,11
Soft drinks,11
Teabags,11
Wine,11
Penne,12
White Rice,12
Brown Rice,12
Macaroni,12
Spaghetti,12
Oats,12
Granola,12
Noodles,12
Cereal,12
Flour,13
Powdered Sugar,13
Baking Powder,13
Cocoa,13
Almond Flour,13
Coconut Flour,13
Burgers,14
Chicken,14
Chopped fruit,14
Fish,14
Ice cream,14
Ice pops,14
Pies,14
Pizza,14
Veggie burgers,14
Waffles,14
Body lotion,15
Bug repellant,15
Conditioner,15
Cotton swabs,15
Dental floss,15
Deodorant,15
Facial tissues,15
Hand soap,15
Lip balm,15
Makeup,15
Makeup wipes,15
Mouthwash,15
Razors,15
Shampoo,15
Shaving cream,15
Shower gel,15
Sunscreen,15
Toothpaste,15
Saline,16
Band-aid,16
Cleaning Alcohol,16
Vitamins,16
Pain killers,16
Antacids,16
Air freshener,17
Aluminum foil,17
Batteries,17
Bleach,17
Coffee filters,17
Dish soap,17
Dishwasher detergent,17
Fabric softener,17
Floor cleaner,17
Garbage bags,17
Glass spray,17
Laundry detergent,17
Light bulbs,17
Napkins,17
Plastic wrap,17
Plastic bags,17
Paper towels,17
Sponges,17
Surface spray,17
Toilet paper,17
Vacuum bags,17
Waxed paper,17
Baby food,18
Baby wipes,18
Diapers,18
Diaper cream,18
Formula,18
Cat food,19
Cat litter,19
Chew toys,19
Dog food,19
Dog treats,19
Flea treatment,19
Pet shampoo,19
Poop bags,19
